SMILES,Tm
c1ccnc(c1)Cc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-],365.15
c1ccc(c(c1)N)N2CCCCC2,319.15
c1cnc(nc1)N2CCNCC2,306.15
c1ccc(c(c1)N2CCNCC2)O,398.15
C1CCC(=CC1)CCN,218.15
CC(C)(C)OC(=O)N1CCC(CC1)OCC(=O)NC,368.15
CC(C)(C)OC(=O)N1CCC(CC1)OCC(=O)NC2CC2,359.15
CC(C)(C)OC(=O)N1CCC(CC1)OCC(=O)N(C)C,331.15
CC#C[Si](C)(C)C,204.15
c1ccc2c(c1)CCCC2=O,280.15
c1cc2ccc3ccc(c4c3c2c(c1)cc4)C=O,400.15
CCCO,146.14999999999998
c1ccc(cc1)C2(CC2)C(=O)O,360.15
c1ccc(cc1)C2(CCCCC2)O,333.15
c1ccc(cc1)N2CCC(=O)N2,395.15
c1ccc(cc1)N2CCCC2=O,339.15
c1ccc(cc1)C(CO)O,340.15
CCCC#C,167.14999999999998
CCCCCCCCCCCCCCCO,319.15
CCCCCCCCN,272.15
CCCCCCC=C,171.14999999999998
CCCCCCCCS,224.15
CCCCCCCCS(=O)(=O)Cl,287.15
CCCCCCCCCN,272.15
CCC[N+](=O)[O-],165.14999999999998
CCCc1ccc(cc1)[N+](=O)[O-],259.15
c1cc(ccc1[N+](=O)[O-])OC(F)(F)F,288.15
CCCCCCc1ccc(cc1)C#Cc2ccc(cc2)C,315.15
CCCCc1ccc(cc1)C#Cc2ccc(cc2)CCCC,314.15
c1ccc2c(c1)cccc2CC(=O)O,403.15
c1ccc2c(c1)cccc2N=C=O,277.15
c1ccc2c(c1)cccc2O,369.15
c1ccc2c(c1)cccc2C(=O)NN,440.15
c1ccc2c(c1)cccc2C=O,275.15
CS(=O)(=O)c1ccc(cc1)[N+](=O)[O-],410.15
Cn1cccc1C(=O)O,410.15
CN1CCCCC1,223.15
CN1c2ccccc2C(=O)C1=O,404.15
Cc1c2ccccc2ccn1,283.15
CC(C(=O)O)Oc1ccc(cc1Cl)Cl,387.15
CC(C(=O)O)Oc1cc(c(cc1Cl)Cl)Cl,451.15
B(c1ccccc1NC(=O)C(C)(C)C)(O)O,543.15
c1ccc(c(c1)C(=O)O)n2cccc2,377.15
c1ccc(c(c1)N2CCCC2)O,384.15
c1c(sc(n1)N2CCCCC2)C=O,322.15
c1ccc(c(c1)N2CCCCC2)O,348.15
c1ccc(c(c1)C#N)N2CCCCC2,316.15
c1ccc(c(c1)N)N2CCNCC2,388.15
c1ccc2c(c1)cccc2CCO,335.15
c1cc2c(cc1C3CNCCN3)OCO2,395.15
CCCCCCCCCC#C,248.15
CCCCCCCCCC=C,224.15
CCCCCCCCCCCO,287.15
c1ccc(cc1)C(c2ccccc2)(c3ccccc3)n4ccnc4,495.15
C1CC1(C(=O)O)C(F)(F)F,361.15
CCCCCCCCCCCC=C,250.15
CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)S)OC(=O)C)OC(=O)C)OC(=O)C,389.15
CCCCCCCCCCCCC=C,261.15
CCCCCCCCCCCCCCO,312.15
CCCCCCCCCCCCCCS,280.15
CC(C)(C)N1CCNC1=O,410.15
c1cc2ccc3ccc(c4c3c2c(c1)cc4)CCCC(=O)O,458.15
CCCN,190.15
CCCS,160.14999999999998
c1cc2c(cc1CN3CCNCC3)OCO2,316.15
c1ccc(cc1)NNC(=O)N,445.15
c1ccc(cc1)n2cccc2,332.15
c1ccc(cc1)N2CCNCC2,291.15
c1ccc(cc1)N2c3ccccc3C(=O)C2=O,414.15
c1ccc(cc1)n2ccnc2,286.15
c1ccc(cc1)C2(CCCC2)C(=O)O,433.15
c1ccc(cc1)C2=CCCCC2,262.15
c1ccc(cc1)N2C(=O)CC(=N2)C(F)(F)F,466.15
C#CC(c1ccccc1)O,301.15
CC(=O)C(=NO)C(=O)c1ccccc1,402.15
CCCCCN,218.15
B(C=CCCC)(O)O,353.15
CCCCCO,194.15
CCCCCS,197.15
CCCCCCCCCCCCCC#C,283.15
CCCCCCCCCCCCCC=C,269.15
CCCCCCC#C,213.15
CCCCCC(C=C)O,224.15
CCCCCCCCO,257.15
