index,smiles,name,opsin_smiles,std_original,std_opsin
64,Cc1ncc(C(=O)N2C[C@@H]3CN(S(=O)(=O)c4cccnc4)C[C@]3(C)C2)s1,"[(3aS,6aS)-3a-methyl-5-pyridin-3-ylsulfonyl-3,4,6,6a-tetrahydro-1H-pyrrolo[3,4-c]pyrrol-2-yl]-(2-methyl-1,3-thiazol-5-yl)methanone",C[C@@]12[C@H](CN(C1)S(=O)(=O)C=1C=NC=CC1)CN(C2)C(=O)C2=CN=C(S2)C,Cc1ncc(C(=O)N2C[C@@H]3CN(S(=O)(=O)c4cccnc4)C[C@]3(C)C2)s1,Cc1ncc(C(=O)N2C[C@H]3CN(S(=O)(=O)c4cccnc4)C[C@]3(C)C2)s1
88,C=CC(=O)C/C=C(/CCC=C(C)CCCC(=O)[Se]c1ccccc1)C1CC1,"Se-phenyl(9Z)-9-cyclopropyl-5-methyl-12-oxotetradeca-5,9,13-trieneselenoate",C1(=CC=CC=C1)[SeH]=C(CCCC(=CCC/C(=C/CC(C=C)=O)/C1CC1)C)[O-],C=CC(=O)C=CC(CCC=C(C)CCCC(=O)[Se]c1ccccc1)C1CC1,C=CC(=O)C=CC(CCC=C(C)CCCC(=O)[SeH2]c1ccccc1)C1CC1
120,Cc1ccc([C@H]2CC(=O)C3=C(C2)Nc2ccccc2N[C@H]3c2ccccc2I)cc1,"(6R,9R)-6-(2-iodophenyl)-9-(4-methylphenyl)-5,6,8,9,10,11-hexahydrobenzo[b][1,4]benzodiazepin-7-one",IC1=C(C=CC=C1)[C@H]1C(C[C@@H](C2=C1NC1=C(CN2)C=CC=C1)C1=CC=C(C=C1)C)=O,Cc1ccc([C@H]2CC(=O)C3C(=Nc4ccccc4N[C@H]3c3ccccc3I)C2)cc1,Cc1ccc([C@H]2CC(=O)C(c3ccccc3I)C3=Nc4ccccc4CNC32)cc1
122,CCOC(=O)[C@@]1([C@H](O)c2ccccc2)C=CCN1C(=O)OC(C)(C)C,"1-O-tert-butyl5-O-ethyl(5S)-5-[(R)-hydroxy(phenyl)methyl]-2H-pyrrole-1,5-dicarboxylate",,CCOC(=O)[C@@]1([C@H](O)c2ccccc2)C=CCN1C(=O)OC(C)(C)C,
127,Cn1ncc(C(=O)ON2C(=O)c3ccccc3C2=O)c1S(C)(=O)=O,"(1,3-dioxoisoindol-2-yl)1-methyl-5-methylsulfonylpyrazole-4-carboxylate",O=C1N(C(C2=CC=CC=C12)=O)C1=NN(C(=C1C(=O)[O-])S(=O)(=O)C)C,Cn1ncc(C(=O)ON2C(=O)c3ccccc3C2=O)c1S(C)(=O)=O,Cn1nc(N2C(=O)c3ccccc3C2=O)c(C(=O)O)c1S(C)(=O)=O
292,C[C@H](CC(=O)OC(C)(C)C)C(=O)O[C@@H](C)COC(C)(C)C,4-O-tert-butyl1-O-[(2S)-1-[(2-methylpropan-2-yl)oxy]propan-2-yl](2R)-2-methylbutanedioate,,CC(CC(=O)OC(C)(C)C)C(=O)O[C@@H](C)COC(C)(C)C,
312,CC(C)n1cc(OS(N)(=O)=O)cn1,(1-propan-2-ylpyrazol-4-yl)sulfamate,CC(C)N1N=CC(=C1)NS([O-])(=O)=O,CC(C)n1cc(OS(N)(=O)=O)cn1,CC(C)n1cc(NS(=O)(=O)O)cn1
314,CCCCCCN1c2cc3ccc(F)cc3cc2Oc2cc3cc(F)c(F)cc3cc21,"7,8,18-trifluoro-13-hexyl-2-oxa-13-azapentacyclo[12.8.0.03,12.05,10.016,21]docosa-1(14),3(12),4,6,8,10,15,17,19,21-decaene",FC1=CC2=CC=3OC=4C=C5C=CC(=CC5=CC4N(C3C=C2C=C1F)CCCCCC)F,CCCCCCN1c2cc3ccc(F)cc3cc2Oc2cc3cc(F)c(F)cc3cc21,CCCCCCN1c2cc3cc(F)ccc3cc2Oc2cc3cc(F)c(F)cc3cc21
322,CCCCC(CCOC)COC(=O)CCCCCC(=O)OCCC,7-O-[2-(2-methoxyethyl)hexyl]1-O-propylheptanedioate,,CCCCC(CCOC)COC(=O)CCCCCC(=O)OCCC,
344,COC[C@@]12CO[C@H](C(n3ccccc3=O)O1)[C@@H]2OP(=O)(O)OI,"iodo[(1S,4S,7S)-1-(methoxymethyl)-3-(2-oxopyridin-1-yl)-2,5-dioxabicyclo[2.2.1]heptan-7-yl]hydrogenphosphate",IC1(O[C@]2(CO[C@H]1[C@@H]2OP(=O)([O-])[O-])COC)N2C(C=CC=C2)=O,COC[C@@]12CO[C@H](C(n3ccccc3=O)O1)[C@@H]2OP(=O)(O)OI,COC[C@]12CO[C@@H]([C@@H]1OP(=O)(O)O)C(I)(n1ccccc1=O)O2
