index,smiles,name,opsin_smiles,std_original,std_opsin
106,C[C@@H]1[C@H]2CCC3=C(NC(=S)NC3c3ccccc3F)[C@]2(C)CCC12OCCO2,"(6'aR,7'R,10'aR)-4'-(2-fluorophenyl)-7',10'a-dimethylspiro[1,3-dioxolane-2,8'-3,4,5,6,6a,7,9,10-octahydro-1H-benzo[h]quinazoline]-2'-thione",,C[C@@H]1[C@H]2CCC3=C(NC(=S)NC3c3ccccc3F)[C@]2(C)CCC12OCCO2,
135,O=P(O)(O)OC(OCCCl)(OOP(=O)(O)OCCCl)C(Cl)OCCCl,"[2-chloro-1,2-bis(2-chloroethoxy)-1-phosphonooxyethoxy]2-chloroethylhydrogenphosphate",ClC(C(OC(COP(=O)([O-])[O-])Cl)(OP(=O)(O)O)OCCCl)OCCCl,O=P(O)(O)OC(OCCCl)(OOP(=O)(O)OCCCl)C(Cl)OCCCl,O=P(O)(O)OCC(Cl)OC(OCCCl)(OP(=O)(O)O)C(Cl)OCCCl
216,CC(=O)SC1CN(c2nc(CNC(=O)c3ccco3)cs2)C1,"S-[1-[4-[(furan-2-carbonylamino)methyl]-1,3-thiazol-2-yl]azetidin-3-yl]ethanethioate",O1C(=CC=C1)C(=O)NCC=1N=C(SC1)N1CC(C1)S=C(C)[O-],CC(=O)SC1CN(c2nc(CNC(=O)c3ccco3)cs2)C1,CC(=O)[SH2]C1CN(c2nc(CNC(=O)c3ccco3)cs2)C1
294,N#C/C(=C/c1ccccc1)c1nc(/C(C#N)=C/c2ccccc2)n(Cc2ccccc2)n1,"(Z)-2-[1-benzyl-5-[(Z)-1-cyano-2-phenylethenyl]-1,2,4-triazol-3-yl]-3-phenylprop-2-enenitrile",C(C1=CC=CC=C1)N1N=C(N=C1\C(=C/C1=CC=CC=C1)\C#N)\C(\C#N)=C/C1=CC=CC=C1,N#C/C(=C/c1ccccc1)c1nc(/C(C#N)=C/c2ccccc2)n(Cc2ccccc2)n1,N#C/C(=C/c1ccccc1)c1nc(/C(C#N)=C\c2ccccc2)n(Cc2ccccc2)n1
347,C=CCOC(=O)C(C)(C)CC(S)C(=O)OCCCC,"5-O-butyl1-O-prop-2-enyl2,2-dimethyl-4-sulfanylpentanedioate",,C=CCOC(=O)C(C)(C)CC(S)C(=O)OCCCC,
355,CC(=O)Oc1cc2c(c(-c3ccccc3)c1OC(C)=O)C(=O)C(=O)N2c1ccccc1,"(5-acetyloxy-2,3-dioxo-1,4-diphenylindol-6-yl)acetate",C(C)(=O)OC=1C(=C2C(C(N(C2=CC1CC(=O)[O-])C1=CC=CC=C1)=O)=O)C1=CC=CC=C1,CC(=O)Oc1cc2c(c(-c3ccccc3)c1OC(C)=O)C(=O)C(=O)N2c1ccccc1,CC(=O)Oc1c(CC(=O)O)cc2c(c1-c1ccccc1)C(=O)C(=O)N2c1ccccc1
391,CC(C)[C@@H]1C[C@@H]([Si](C)(C)C)[C@]2(C)CC[C@@H]([Se]c3ccccc3)[C@@H]3O[C@@]32C1,"[(1aR,2R,4aS,5R,7S,8aR)-4a-methyl-2-phenylselanyl-7-propan-2-yl-1a,2,3,4,5,6,7,8-octahydronaphtho[4a,5-b]oxiren-5-yl]-trimethylsilane",C[C@@]12CC[C@H]([C@H]3[C@@]2(O3)C[C@@H](C[C@H]1[Si](C)(C)C)C(C)C)[Se]C1=CC=CC=C1,CC(C)[C@@H]1C[C@@H]([Si](C)(C)C)[C@]2(C)CC[C@@H]([Se]c3ccccc3)[C@@H]3O[C@@]32C1,CC(C)[C@@H]1C[C@@H]([Si](C)(C)C)[C@@]2(C)CC[C@@H]([Se]c3ccccc3)[C@@H]3O[C@@]32C1
430,CC(=O)Oc1ccccc1CNC1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1OCc1ccccc1OC(C)=O,"[2-[[[(3R,4R,5R,6R)-3-[(2-acetyloxyphenyl)methoxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]amino]methyl]phenyl]acetate",C(C)(=O)OC1=C(C=CC=C1)CO[C@H]1C(O[C@@H]([C@@H]([C@H]1O)O)CO)NCC1=C(C=CC=C1)CC(=O)[O-],CC(=O)Oc1ccccc1CNC1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1OCc1ccccc1OC(C)=O,CC(=O)Oc1ccccc1CO[C@H]1C(NCc2ccccc2CC(=O)O)O[C@H](CO)[C@H](O)[C@H]1O
577,O=C1O[C@@H](Cn2ccnn2)C2Cc3cc(-c4ccc(-n5cnnn5)nc4)ccc3N12,"(3S)-6-[6-(tetrazol-1-yl)pyridin-3-yl]-3-(triazol-1-ylmethyl)-3a,4-dihydro-3H-[1,3]oxazolo[3,4-a]indol-1-one",,O=C1O[C@@H](Cn2ccnn2)C2Cc3cc(-c4ccc(-n5cnnn5)nc4)ccc3N12,
637,O=[N+]([O-])c1ccc(O[P@@]2(=O)COCCO2)cc1,"(2S)-2-(4-nitrophenoxy)-1,4,2λ5-dioxaphosphinane2-oxide",[N+](=O)([O-])C1=CC=C(O[P@]2(OCCOC2)=O)C=C1,O=[N+]([O-])c1ccc(O[P@@]2(=O)COCCO2)cc1,O=[N+]([O-])c1ccc(O[P@]2(=O)COCCO2)cc1
658,CC(=O)Sc1ccc(C#CC#Cc2ccc(SC(C)=O)cc2)cc1,"S-[4-[4-(4-acetylsulfanylphenyl)buta-1,3-diynyl]phenyl]ethanethioate",C(C)(=O)SC1=CC=C(C=C1)C#CC#CC1=CC=C(C=C1)S=C(C)[O-],CC(=O)Sc1ccc(C#CC#Cc2ccc(SC(C)=O)cc2)cc1,CC(=O)Sc1ccc(C#CC#Cc2ccc([SH2]C(C)=O)cc2)cc1
832,CC(=O)OC1COC(n2nc(C#N)c(C#N)n2)C(OC(C)=O)C1OC(C)=O,"[4,5-diacetyloxy-6-(4,5-dicyanotriazol-2-yl)oxan-3-yl]acetate",C(C)(=O)OC1C(COC(C1OC(C)=O)N1N=C(C(=N1)C#N)C#N)CC(=O)[O-],CC(=O)OC1COC(n2nc(C#N)c(C#N)n2)C(OC(C)=O)C1OC(C)=O,CC(=O)OC1C(CC(=O)O)COC(n2nc(C#N)c(C#N)n2)C1OC(C)=O
1089,O=C(O)[C@@H]1CCCN(CCCC2Sc3ccccc3Sc3ccccc32)C1,"(3R)-1-[3-(6H-benzo[b][1,5]benzodithiepin-6-yl)propyl]piperidine-3-carboxylicacid",,O=C(O)C1CCCN(CCCC2Sc3ccccc3Sc3ccccc32)C1,
1108,CCOC(=O)C=CC(=O)OC(CC)[Si](C)(C)O[Si](C)(C)C,4-O-[1-[dimethyl(trimethylsilyloxy)silyl]propyl]1-O-ethylbut-2-enedioate,,CCOC(=O)C=CC(=O)OC(CC)[Si](C)(C)O[Si](C)(C)C,
