index,smiles,name,opsin_smiles,std_original,std_opsin
63,N#Cc1cscc1[C@@H]1CC[C@H]2OC3(CCN(C(=O)c4ccccc4)CC3)C(=O)N21,"4-((1R,6S)-4-oxospiro[2-oxa-5-azabicyclo[3.3.0]octane-3,4'-(1-(1-azacyclohexan-1-yl)-1-phenylmethanone)]-6-yl)thiophene-3-carbonitrile",,N#Cc1cscc1[C@@H]1CC[C@H]2OC3(CCN(C(=O)c4ccccc4)CC3)C(=O)N21,
292,C[C@H](CC(=O)OC(C)(C)C)C(=O)O[C@@H](C)COC(C)(C)C,1-(2S)-1-(tert-butoxy)propan-2-yl 4-tert-butyl (2R)-2-methylbutanedioate,,CC(CC(=O)OC(C)(C)C)C(=O)O[C@@H](C)COC(C)(C)C,
322,CCCCC(CCOC)COC(=O)CCCCCC(=O)OCCC,1-2-(2-methoxyethyl)hexyl 7-propyl heptanedioate,,CCCCC(CCOC)COC(=O)CCCCCC(=O)OCCC,
413,C[O+]=[C-][C@H]1[C@H](C)[C@H]2C=C[C@@H]1C2,"(1R,4S,5S,6R)-5-(methoxymethyl)-6-methylbicyclo[2.2.1]hept-2-ene",COC[C@@H]1[C@@H]2C=C[C@H]([C@H]1C)C2,C[O+]=[C-][C@H]1[C@H](C)[C@H]2C=C[C@@H]1C2,COC[C@H]1[C@H](C)[C@H]2C=C[C@@H]1C2
638,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCCO,"2-(((12-hydroxydodecoxy)phosphinoyl)oxy)-N,N,N-trimethylethan-1-aminium",OCCCCCCCCCCCCOP(=O)OCC[N+](C)(C)C,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCCO,C[N+](C)(C)CCO[PH](=O)OCCCCCCCCCCCCO
788,CC1CC2CC(C)C3(OOC4(CCN(C(=O)CCC(=O)O)CC4)O3)C(C1)C2,,,CC1CC2CC(C)C3(OOC4(CCN(C(=O)CCC(=O)O)CC4)O3)C(C1)C2,
912,COC(=O)c1c(-n2c(C)cc(/C=C(/C#N)c3nc4ccccc4[nH]3)c2C)sc2c1CCCC2,"methyl 2-(3-((1E)-2-(1H-benzimidazol-2-yl)-3-nitriloprop-1-en-1-yl)-2,5-dimethyl-1H-pyrrol-1-yl)-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxylate",N1C(=NC2=C1C=CC=C2)/C(=C/C2=C(N(C(=C2)C)C=2SC1=C(C2C(=O)OC)CCCC1)C)/C#N,COC(=O)c1c(-n2c(C)cc(/C=C(/C#N)c3nc4ccccc4[nH]3)c2C)sc2c1CCCC2,COC(=O)c1c(-n2c(C)cc(/C=C(\C#N)c3nc4ccccc4[nH]3)c2C)sc2c1CCCC2
985,CC1(C)C2CC3CC14C1CC5CC(C1)C16CC7CC(C1)C3C(C7)(C2)C64C5,,,CC1(C)C2CC3CC14C1CC5CC(C1)C16CC7CC(C1)C3C(C7)(C2)C64C5,
1074,CCC(C)(C#N)NS(=O)(=O)NC(=O)OC,methyl (N-2-methyl-1-nitrilobutan-2-ylsulfamoylamino)formate,,CCC(C)(C#N)NS(=O)(=O)NC(=O)OC,
1253,CCOc1ccc(N2C(=O)CS(=O)(=O)[C@@]23C(=O)N(Cc2cc(C)ccc2C)c2ccccc23)cc1,"(3S)-1-((2,5-dimethylphenyl)methyl)-3'-(4-ethoxyphenyl)-1',1'-bis(oxo-1lambda^6-thia)-3'-azaspiro[indoline-3,2'-cyclopentane]-2,4'-dione",,CCOc1ccc(N2C(=O)CS(=O)(=O)[C@@]23C(=O)N(Cc2cc(C)ccc2C)c2ccccc23)cc1,
