index,smiles,name,opsin_smiles,std_original,std_opsin
2,O,hydrate,,O,
77,COC(N)=O,methylcarbamate,CNC([O-])=O,COC(N)=O,CNC(=O)O
112,N=COC=O,methanimidoylformate,C(=N)C(=O)[O-],N=COC=O,N=CC(=O)O
239,CC(=N)OC=O,ethanimidoylformate,C(C)(=N)C(=O)[O-],CC(=N)OC=O,CC(=N)C(=O)O
243,CC(=O)OC=N,methanimidoylacetate,C(=N)CC(=O)[O-],CC(=O)OC=N,N=CCC(=O)O
248,NC(=O)OC=N,carbamoylmethanimidate,C(N)(=O)C([O-])=N,N=COC(N)=O,NC(=O)C(N)=O
256,CC(C)OC=O,propan-2-ylformate,CC(C)C(=O)[O-],CC(C)OC=O,CC(C)C(=O)O
265,CCOC(N)=O,ethylcarbamate,C(C)NC([O-])=O,CCOC(N)=O,CCNC(=O)O
492,N=COCC#C,prop-2-ynylmethanimidate,C(C#C)C([O-])=N,C#CCOC=N,C#CCC(N)=O
498,O=COCC#C,prop-2-ynylformate,C(C#C)C(=O)[O-],C#CCOC=O,C#CCC(=O)O
577,N=COC1CC1,cyclopropylmethanimidate,C1(CC1)C([O-])=N,N=COC1CC1,NC(=O)C1CC1
583,O=COC1CC1,cyclopropylformate,C1(CC1)C(=O)[O-],O=COC1CC1,O=C(O)C1CC1
694,C1C2C3CC2C13,"tricyclo[2.2.0.02,6]hexane",C12C3CC2CC31,C1C2C3CC2C13,C1C2CC3C1C23
696,C1C2C3OC2C13,"3-oxatricyclo[2.2.0.02,6]hexane",C12C3OC2CC31,C1C2C3OC2C13,C1C2OC3C1C23
698,N1C2C3OC2C13,"3-oxa-6-azatricyclo[3.1.0.02,4]hexane",C12C3OC3C2N1,N1C2C3OC2C13,N1C2C1C1OC21
699,O1C2C3OC2C13,"3,6-dioxatricyclo[3.1.0.02,4]hexane",C12C3OC3C2O1,O1C2C3OC2C13,O1C2C1C1OC21
721,C1=CN=NN=C1,triazine,N1=CN=CN=C1,c1cnnnc1,c1ncncn1
1109,CC(=N)OC(C)=O,ethanimidoylacetate,C(C)(=N)CC(=O)[O-],CC(=N)OC(C)=O,CC(=N)CC(=O)O
1110,CC(=N)OC(N)=O,carbamoylethanimidate,C(N)(=O)CC([O-])=N,CC(=N)OC(N)=O,NC(=O)CC(N)=O
1123,CC(C)OC(C)=O,propan-2-ylacetate,CC(C)CC(=O)[O-],CC(=O)OC(C)C,CC(C)CC(=O)O
1124,CC(C)OC(N)=O,propan-2-ylcarbamate,CC(C)NC([O-])=O,CC(C)OC(N)=O,CC(C)NC(=O)O
1204,CC(=N)OCC#C,prop-2-ynylethanimidate,C(C#C)CC([O-])=N,C#CCOC(C)=N,C#CCCC(N)=O
1210,CC(=O)OCC#C,prop-2-ynylacetate,C(C#C)CC(=O)[O-],C#CCOC(C)=O,C#CCCC(=O)O
1216,NC(=O)OCC#C,prop-2-ynylcarbamate,C(C#C)NC([O-])=O,C#CCOC(N)=O,C#CCNC(=O)O
1217,NC(=O)OCC#N,cyanomethylcarbamate,C(#N)CNC([O-])=O,N#CCOC(N)=O,N#CCNC(=O)O
1230,NC(=O)OCC=O,2-oxoethylcarbamate,O=CCNC([O-])=O,NC(=O)OCC=O,O=CCNC(=O)O
1279,CCCOC(N)=O,propylcarbamate,C(CC)NC([O-])=O,CCCOC(N)=O,CCCNC(=O)O
1288,NC(=O)OCCO,2-hydroxyethylcarbamate,OCCNC([O-])=O,NC(=O)OCCO,O=C(O)NCCO
1370,N=C(OC=O)C#C,prop-2-ynimidoylformate,C(C#C)(=N)C(=O)[O-],C#CC(=N)OC=O,C#CC(=N)C(=O)O
1371,N=C(OC=O)C#N,(C-cyanocarbonimidoyl)formate,C(#N)C(=N)C(=O)[O-],N#CC(=N)OC=O,N#CC(=N)C(=O)O
1378,N=C(OC=O)C=O,2-oxoethanimidoylformate,O=CC(=N)C(=O)[O-],N=C(C=O)OC=O,N=C(C=O)C(=O)O
1414,CC(OC=N)C#C,but-3-yn-2-ylmethanimidate,CC(C#C)C([O-])=N,C#CC(C)OC=N,C#CC(C)C(N)=O
1416,CC(OC=O)C#C,but-3-yn-2-ylformate,CC(C#C)C(=O)[O-],C#CC(C)OC=O,C#CC(C)C(=O)O
1422,CC(OC=N)C=O,1-oxopropan-2-ylmethanimidate,O=CC(C)C([O-])=N,CC(C=O)OC=N,CC(C=O)C(N)=O
1423,CC(OC=O)C=O,1-oxopropan-2-ylformate,O=CC(C)C(=O)[O-],CC(C=O)OC=O,CC(C=O)C(=O)O
1427,CN=C(C)OC=O,"(C,N-dimethylcarbonimidoyl)formate",CC(=NC)C(=O)[O-],CN=C(C)OC=O,CN=C(C)C(=O)O
