index,smiles,name,opsin_smiles,std_original,std_opsin
47,O=C(C[C@H]1[C@@H]2CN(C(=O)c3cccc(=O)o3)C[C@H]12)N[C@@H]1CCn2cncc2C1,"N-((4R)-1,8-diazabicyclo[4.3.0]nona-6,8-dien-4-yl)-2-((1R,5S,6s)-3-((2-oxopyran-6-yl)carbonyl)-3-azabicyclo[3.1.0]hexan-6-yl)acetamide",,O=C(C[C@@H]1[C@H]2CN(C(=O)c3cccc(=O)o3)C[C@@H]12)N[C@@H]1CCn2cncc2C1,
79,CCc1nocc1C(=O)NC[C@H]1C[C@@H]2CC[C@H](C1)N2C(=O)c1nc(OC)c(C)s1,"3-ethyl-N-(((1R,3s,5S)-8-((4-methoxy-5-methyl-1,3-thiazol-2-yl)carbonyl)-8-azabicyclo[3.2.1]octan-3-yl)methyl)-1,2-oxazole-4-carboxamide",,CCc1nocc1C(=O)NC[C@@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1nc(OC)c(C)s1,
80,CC[C@H]1OCCC[C@@H]1C(=O)N[C@H]1C[C@](F)(CNC(=O)CCc2cccs2)C1,"(2R,3S)-2-ethyl-N-((1s,3R)-3-fluoro-3-((3-(thiophen-2-yl)propanamido)methyl)cyclobutyl)oxane-3-carboxamide",,CC[C@H]1OCCCC1C(=O)N[C@H]1C[C@](F)(CNC(=O)CCc2cccs2)C1,
99,C=CCCCCCCCCC(=O)N1C[C@H]2[C@H](CN=c3[nH]c(Cl)nc(C)c3Cl)[C@H]2C1,"1-((1R,5S,6r)-6-(((2,5-dichloro-6-methyl-3H-pyrimidin-4-ylidene)amino)methyl)-3-azabicyclo[3.1.0]hexan-3-yl)undec-10-en-1-one",,C=CCCCCCCCCC(=O)N1C[C@@H]2[C@@H](CNc3nc(Cl)nc(C)c3Cl)[C@@H]2C1,
135,CC[C@H](C)[C@H](CO)CNC(=O)[C@@](F)(CNC(=O)[C@@H]1[C@H]2COC[C@H]21)C(C)C,"(2S)-2-fluoro-N-((2S,3S)-2-(hydroxymethyl)-3-methylpentyl)-3-methyl-2-(((1R,5S,6r)-3-oxabicyclo[3.1.0]hexane-6-carboxamido)methyl)butanamide",,CC[C@H](C)[C@H](CO)CNC(=O)[C@@](F)(CNC(=O)C1[C@H]2COC[C@@H]12)C(C)C,
144,O=C(Cc1ccccc1Cl)NC1CCC(NC(=O)[C@@H]2[C@H]3CCC[C@H]32)CC1,"N-(4-((1R,5S,6r)-bicyclo[3.1.0]hexane-6-carboxamido)cyclohexyl)-2-(2-chlorophenyl)acetamide",,O=C(Cc1ccccc1Cl)NC1CCC(NC(=O)C2[C@H]3CCC[C@@H]23)CC1,
220,CC(C)(C#N)CCC(=O)N[C@H]1[C@@H]2CN(C(=O)C3(CS(C)(=O)=O)COC3)C[C@@H]21,"4-cyano-4-methyl-N-((1R,5S,6s)-3-((3-((methylsulfonyl)methyl)oxetan-3-yl)carbonyl)-3-azabicyclo[3.1.0]hexan-6-yl)pentanamide",,CC(C)(C#N)CCC(=O)N[C@H]1[C@@H]2CN(C(=O)C3(CS(C)(=O)=O)COC3)C[C@@H]21,
228,CN(C[C@H]1[C@@H]2CN(C(=O)CCS(C)(=O)=O)C[C@H]12)C(=O)CCn1cnnn1,"N-methyl-N-(((1R,5S,6r)-3-(3-(methylsulfonyl)-propionyl)-3-azabicyclo[3.1.0]hexan-6-yl)methyl)-3-(1H-tetrazol-1-yl)propanamide",,CN(C[C@@H]1[C@H]2CN(C(=O)CCS(C)(=O)=O)C[C@@H]12)C(=O)CCn1cnnn1,
231,CN=c1[nH]cc(C(=O)N2[C@H]3CC[C@@H]2C[C@H](NC(=O)C[C@@H](C)c2cnn(C)c2)C3)s1,"(3R)-3-(1-methyl-1H-pyrazol-4-yl)-N-((1R,3r,5S)-8-((2-(methylimino)-3H-1,3-thiazol-5-yl)carbonyl)-8-azabicyclo[3.2.1]octan-3-yl)butanamide",,CNc1ncc(C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)C[C@@H](C)c2cnn(C)c2)C3)s1,
238,COc1cccc(CC(=O)N2C[C@H]3CC[C@@H](C2)[C@@H]3C(=O)N[C@@H](C)c2cn[nH]c2)c1,"(1R,5S,8r)-3-(2-(3-methoxyphenyl)-acetyl)-N-((1S)-1-(1H-pyrazol-4-yl)ethyl)-3-azabicyclo[3.2.1]octane-8-carboxamide",,COc1cccc(CC(=O)N2C[C@H]3CC[C@@H](C2)C3C(=O)N[C@@H](C)c2cn[nH]c2)c1,
266,C#CCCOCC(=O)NC1CC2(C1)CN(C(=O)[C@@H]1[C@H]3CCCCC[C@H]31)C2,"N-(2-(((1R,7S,8r)-bicyclo[5.1.0]octan-8-yl)carbonyl)-2-azaspiro[3.3]heptan-6-yl)-2-((but-3-yn-1-yl)oxy)acetamide",,C#CCCOCC(=O)NC1CC2(C1)CN(C(=O)C1[C@H]3CCCCC[C@@H]13)C2,
273,CN1C[C@@H](F)C[C@H]1C(=O)N1C[C@H]2[C@H](NC(=O)C3CC4(CCCC4)C3)[C@H]2C1,"N-((1R,5S,6R)-3-(((2S,4S)-4-fluoro-1-methylpyrrolidin-2-yl)carbonyl)-3-azabicyclo[3.1.0]hexan-6-yl)spiro[3.4]octane-2-carboxamide",,CN1C[C@@H](F)CC1C(=O)N1C[C@@H]2[C@H](C1)[C@H]2NC(=O)C1CC2(CCCC2)C1,
372,C=CCO[C@@H](C)C(=O)NC[C@H]1C[C@@H]2CC[C@H](C1)N2C(=O)Cc1cc(Cl)ccc1O,"(2S)-N-(((1R,3s,5S)-8-(2-(5-chloro-2-hydroxyphenyl)-acetyl)-8-azabicyclo[3.2.1]octan-3-yl)methyl)-2-((prop-2-en-1-yl)oxy)propanamide",,C=CCOC(C)C(=O)NC[C@@H]1C[C@H]2CC[C@@H](C1)N2C(=O)Cc1cc(Cl)ccc1O,
380,CC[C@@](CO)(OC)C(=O)N(C)C[C@H]1[C@@H]2CN(C(=O)CC(C)(C)C)C[C@H]12,"(2S)-N-(((1R,5S,6r)-3-(3,3-dimethyl-butyryl)-3-azabicyclo[3.1.0]hexan-6-yl)methyl)-2-(hydroxymethyl)-2-methoxy-N-methylbutanamide",,CC[C@@](CO)(OC)C(=O)N(C)C[C@@H]1[C@H]2CN(C(=O)CC(C)(C)C)C[C@@H]12,
415,COC(=O)[C@H](C)C(=O)N1[C@H]2CC[C@@H]1C[C@H](CNC(=O)C1CN(C(N)=O)C1)C2,"methyl (2R)-2-(((1R,3R,5S)-3-((1-((amino)carbonyl)azetidine-3-carboxamido)methyl)-8-azabicyclo[3.2.1]octan-8-yl)carbonyl)propanoate",,COC(=O)C(C)C(=O)N1[C@@H]2CC[C@H]1C[C@@H](CNC(=O)C1CN(C(N)=O)C1)C2,
431,CC(C)(CCNC(=O)[C@H]1COC(C)(C)CO1)NC(=O)[C@H]1C[C@@H]2CC[C@H](C1)O2,"(1R,3s,5S)-N-(4-((2R)-5,5-dimethyl-1,4-dioxane-2-carboxamido)-2-methylbutan-2-yl)-8-oxabicyclo[3.2.1]octane-3-carboxamide",,CC(C)(CCNC(=O)C1COC(C)(C)CO1)NC(=O)C1C[C@H]2CC[C@@H](C1)O2,
433,CC1(C)C[C@@H](CNC(=O)[C@H]2CC[C@H]3C[C@H]3CC2)N(C(=O)CCn2cccn2)C1,"(1R,4s,7S)-N-(((2S)-4,4-dimethyl-1-(1-oxo-3-(1H-pyrazol-1-yl)propyl)pyrrolidin-2-yl)methyl)bicyclo[5.1.0]octane-4-carboxamide",,CC1(C)C[C@@H](CNC(=O)C2CC[C@@H]3C[C@@H]3CC2)N(C(=O)CCn2cccn2)C1,
