index,smiles,name,opsin_smiles,std_original,std_opsin
1,C#Cc1ccc(Cl)c(C(=O)N[C@H]2C[C@@H](NC(=O)c3c(C)coc3C3CC3)C2)c1,"N-[(1R,3S)-3-[(2-chloro-5-ethynylbenzoyl)amino]cyclobutyl]-2-cyclopropyl-4-methylfuran-3-carboxamide",,C#Cc1ccc(Cl)c(C(=O)N[C@H]2C[C@@H](NC(=O)c3c(C)coc3C3CC3)C2)c1,
10,CC(C)C[C@](C)(CNC(=O)[C@H]1C[C@@H](O)C1)NC(=O)c1cn(C)c2ccccc12,"N-[(2R)-1-[[(1R,3S)-3-hydroxycyclobutanecarbonyl]amino]-2,4-dimethylpentan-2-yl]-1-methylindole-3-carboxamide",,CC(C)C[C@](C)(CNC(=O)C1CC(O)C1)NC(=O)c1cn(C)c2ccccc12,
15,CN(C)c1ccc(C(=O)N[C@H](CO)CCCNC(=O)C23CCCN2CCC3)nn1,"N-[(4S)-4-[[6-(dimethylamino)pyridazine-3-carbonyl]amino]-5-hydroxypentyl]-1,2,3,5,6,7-hexahydropyrrolizine-8-carboxamide",,CN(C)c1ccc(C(=O)N[C@H](CO)CCCNC(=O)C23CCCN2CCC3)nn1,
21,Cc1cc[nH]c1C(=O)NC[C@H]1[C@@H]2CN(C(=O)[C@H](O)c3cn(C)nc3C)C[C@H]12,"N-[[(1S,5R,6R)-3-[(2R)-2-(1,3-dimethylpyrazol-4-yl)-2-hydroxyacetyl]-3-azabicyclo[3.1.0]hexan-6-yl]methyl]-3-methyl-1H-pyrrole-2-carboxamide",,Cc1cc[nH]c1C(=O)NC[C@@H]1[C@H]2CN(C(=O)C(O)c3cn(C)nc3C)C[C@@H]12,
32,COCc1nc(C)cc(N2C[C@H](C)CN(C(=O)[C@@H]3CCOCC3(C)C)C[C@H]2C)n1,"[(4R)-3,3-dimethyloxan-4-yl]-[(3R,6R)-4-[2-(methoxymethyl)-6-methylpyrimidin-4-yl]-3,6-dimethyl-1,4-diazepan-1-yl]methanone",CC1(COCC[C@H]1C(=O)N1C[C@H](N(C[C@H](C1)C)C1=NC(=NC(=C1)C)COC)C)C,COCc1nc(C)cc(N2C[C@H](C)CN(C(=O)C3CCOCC3(C)C)C[C@H]2C)n1,COCc1nc(C)cc(N2C[C@@H](C)CN(C(=O)C3CCOCC3(C)C)C[C@H]2C)n1
45,CO[C@]1(CO)CCN(C(=O)NCc2ccc(O)c(Br)c2)C1,(3S)-N-[(3-bromo-4-hydroxyphenyl)methyl]-3-(hydroxymethyl)-3-methoxypyrrolidine-1-carboxamide,BrC=1C=C(C=CC1O)CNC(=O)N1C[C@](CC1)(OC)CO,CO[C@]1(CO)CCN(C(=O)NCc2ccc(O)c(Br)c2)C1,CO[C@@]1(CO)CCN(C(=O)NCc2ccc(O)c(Br)c2)C1
51,CN(C[C@@]1(O)CCCN(C(=O)[C@H]2CC23CC3)C1)C(=O)c1cscc1C(F)(F)F,N-[[(3R)-3-hydroxy-1-[(2S)-spiro[2.2]pentane-2-carbonyl]piperidin-3-yl]methyl]-N-methyl-4-(trifluoromethyl)thiophene-3-carboxamide,O[C@@]1(CN(CCC1)C(=O)[C@H]1CC12CC2)CN(C(=O)C2=CSC=C2C(F)(F)F)C,CN(C[C@@]1(O)CCCN(C(=O)C2CC23CC3)C1)C(=O)c1cscc1C(F)(F)F,CN(C[C@]1(O)CCCN(C(=O)C2CC23CC3)C1)C(=O)c1cscc1C(F)(F)F
62,Cc1ccc(=NCCC(=O)N2CC3(CCN(C(=O)[C@@H]4[C@H]5CCCC[C@H]54)C3)C2)[nH]c1,"1-[7-[(1R,6S,7R)-bicyclo[4.1.0]heptane-7-carbonyl]-2,7-diazaspiro[3.4]octan-2-yl]-3-[(5-methyl-1H-pyridin-2-ylidene)amino]propan-1-one",,Cc1ccc(NCCC(=O)N2CC3(CCN(C(=O)C4[C@H]5CCCC[C@@H]45)C3)C2)nc1,
64,C=CC1(C(=O)N2CC[C@H]3CCN(C(=O)Cc4cccc(F)c4)[C@H]3C2)CCOCC1,"1-[(3aR,7aR)-6-(4-ethenyloxane-4-carbonyl)-3,3a,4,5,7,7a-hexahydro-2H-pyrrolo[2,3-c]pyridin-1-yl]-2-(3-fluorophenyl)ethanone",C(=C)C1(CCOCC1)C(=O)N1C[C@H]2[C@H](CC1)CCN2C(CC2=CC(=CC=C2)F)=O,C=CC1(C(=O)N2CC[C@H]3CCN(C(=O)Cc4cccc(F)c4)[C@H]3C2)CCOCC1,C=CC1(C(=O)N2CC[C@@H]3CCN(C(=O)Cc4cccc(F)c4)[C@H]3C2)CCOCC1
70,CCC[C@H](CC)CCC(=O)NCC[C@H](C)CCNC(=O)Cc1cc(F)cc(F)c1,"(4S)-N-[(3R)-5-[[2-(3,5-difluorophenyl)acetyl]amino]-3-methylpentyl]-4-ethylheptanamide",FC=1C=C(C=C(C1)F)CC(=O)NCC[C@@H](CCNC(CC[C@H](CCC)CC)=O)C,CCC[C@H](CC)CCC(=O)NCC[C@H](C)CCNC(=O)Cc1cc(F)cc(F)c1,CCC[C@H](CC)CCC(=O)NCC[C@@H](C)CCNC(=O)Cc1cc(F)cc(F)c1
